1,2023-12-18,2024-01-18,4748.55,Paid,1,1
2,2023-12-19,2024-01-19,1250.52,Paid,1,2
3,2023-12-20,2024-01-20,1259.87,Paid,2,3
4,2023-12-21,2024-01-21,2003.51,Paid,3,4
5,2023-12-22,2024-01-22,4364.52,Paid,4,1
6,2023-12-23,2024-01-23,1064.66,Not paid,4,2
7,2023-12-24,2024-01-24,3596.13,Paid,5,3
8,2023-12-24,2024-01-24,5114.48,Paid,6,4
9,2023-12-25,2024-01-25,4880.92,Not paid,7,1
10,2023-12-26,2024-01-26,4099.49,Paid,7,2
11,2023-12-27,2024-01-27,3263.66,Paid,8,3
12,2023-12-28,2024-01-28,1687.83,Paid,9,4
13,2023-12-29,2024-01-29,2349.89,Paid,10,1
14,2023-12-30,2024-01-30,4239.67,Paid,10,2
15,2023-12-31,2024-01-31,5077.87,Not paid,11,3
16,2024-01-01,2024-02-01,6187.04,Not paid,12,4
17,2024-01-02,2024-02-02,1347.55,Paid,13,1
18,2024-01-03,2024-02-03,1417.95,Not paid,13,2
19,2024-01-04,2024-02-04,764.77,Paid,14,3
20,2024-01-04,2024-02-04,1162.99,Not paid,15,4
21,2024-01-05,2024-02-05,5487.19,Not paid,16,1
22,2024-01-06,2024-02-06,5271.54,Paid,16,2
23,2024-01-07,2024-02-07,4111.64,Paid,17,3
24,2024-01-08,2024-02-08,6404.63,Paid,18,4
25,2024-01-09,2024-02-09,4421.52,Paid,19,1
26,2024-01-10,2024-02-10,4228.88,Paid,19,2
27,2024-01-11,2024-02-11,5730.74,Paid,20,3
28,2024-01-12,2024-02-12,4573.93,Paid,21,4
29,2024-01-13,2024-02-13,3290.36,Not paid,22,1
30,2024-01-14,2024-02-14,5686.82,Paid,22,2
31,2024-01-15,2024-02-15,613.23,Paid,23,3
32,2024-01-15,2024-02-15,4342.69,Paid,24,4
33,2024-01-16,2024-02-16,4698.13,Paid,25,1
34,2024-01-17,2024-02-17,3160.55,Paid,25,2
35,2024-01-18,2024-02-18,1565.13,Paid,26,3
36,2024-01-19,2024-02-19,1197.02,Paid,27,4
37,2024-01-20,2024-02-20,4182.45,Paid,28,1
38,2024-01-21,2024-02-21,4187.52,Paid,28,2
39,2024-01-22,2024-02-22,2824.6,Paid,29,3
40,2024-01-23,2024-02-23,5656.15,Paid,30,4
41,2024-01-24,2024-02-24,3026.98,Not paid,31,1
42,2024-01-25,2024-02-25,3746.62,Paid,31,2
43,2024-01-26,2024-02-26,3653.77,Paid,32,3
44,2024-01-26,2024-02-26,3411.37,Paid,33,4
45,2024-01-27,2024-02-27,4786.95,Paid,34,1
46,2024-01-28,2024-02-28,4486.5,Paid,34,2
47,2024-01-29,2024-02-29,3994.05,Paid,35,3
48,2024-01-30,2024-03-01,1381.08,Paid,36,4
49,2024-01-31,2024-03-02,4158.53,Paid,37,1
50,2024-02-01,2024-03-03,2085.39,Paid,37,2
51,2024-02-02,2024-03-04,511.21,Paid,38,3
52,2024-02-03,2024-03-05,1025.45,Paid,39,4
53,2024-02-04,2024-03-06,4408.16,Paid,40,1
54,2024-02-05,2024-03-07,2506.06,Paid,40,2
55,2024-02-06,2024-03-08,5435.61,Paid,41,3
56,2024-02-06,2024-03-08,4346.58,Paid,42,4
57,2024-02-07,2024-03-09,1443.11,Not paid,43,1
58,2024-02-08,2024-03-10,3999.66,Paid,43,2
59,2024-02-09,2024-03-11,4686.36,Paid,44,3
60,2024-02-10,2024-03-12,5015.59,Paid,45,4
61,2024-02-11,2024-03-13,5850.33,Paid,46,1
62,2024-02-12,2024-03-14,2199.69,Paid,46,2
63,2024-02-13,2024-03-15,1468.1,Not paid,47,3
64,2024-02-14,2024-03-16,1574.75,Not paid,48,4
65,2024-02-15,2024-03-17,5766.64,Paid,49,1
66,2024-02-16,2024-03-18,717.5,Paid,49,2
67,2024-02-17,2024-03-19,3296.87,Paid,50,3
68,2024-02-17,2024-03-19,1669.77,Paid,51,4
69,2024-02-18,2024-03-20,1725.1,Paid,52,1
70,2024-02-19,2024-03-21,6289.59,Paid,52,2
71,2024-02-20,2024-03-22,4895.15,Paid,53,3
72,2024-02-21,2024-03-23,2746.63,Paid,54,4
73,2024-02-22,2024-03-24,6127.74,Paid,55,1
74,2024-02-23,2024-03-25,6306.47,Paid,55,2
75,2024-02-24,2024-03-26,2156.88,Paid,56,3
76,2024-02-25,2024-03-27,2047.8,Paid,57,4
77,2024-02-26,2024-03-28,5778.03,Paid,58,1
78,2024-02-27,2024-03-29,2850.57,Paid,58,2
79,2024-02-28,2024-03-30,3039.4,Paid,59,3
80,2024-02-28,2024-03-30,2533.76,Paid,60,4
81,2024-02-29,2024-03-31,2869.64,Paid,61,1
82,2024-03-01,2024-04-01,2304.7,Paid,61,2
83,2024-03-02,2024-04-02,4266.92,Paid,62,3
84,2024-03-03,2024-04-03,3268.0,Paid,63,4
85,2024-03-04,2024-04-04,3739.31,Paid,64,1
86,2024-03-05,2024-04-05,2850.24,Not paid,64,2
87,2024-03-06,2024-04-06,2236.75,Paid,65,3
88,2024-03-07,2024-04-07,4253.86,Paid,66,4
89,2024-03-08,2024-04-08,4665.36,Not paid,67,1
90,2024-03-09,2024-04-09,5409.1,Paid,67,2
91,2024-03-10,2024-04-10,970.04,Paid,68,3
92,2024-03-10,2024-04-10,4413.85,Paid,69,4
93,2024-03-11,2024-04-11,5143.56,Paid,70,1
94,2024-03-12,2024-04-12,3693.28,Paid,70,2
95,2024-03-13,2024-04-13,462.8,Paid,71,3
96,2024-03-14,2024-04-14,4312.43,Not paid,72,4
97,2024-03-15,2024-04-15,3088.21,Paid,73,1
98,2024-03-16,2024-04-16,2480.75,Not paid,73,2
99,2024-03-17,2024-04-17,6213.28,Paid,74,3
100,2024-03-18,2024-04-18,495.0,Paid,75,4
101,2024-03-19,2024-04-19,6173.33,Paid,76,1
102,2024-03-20,2024-04-20,4031.77,Paid,76,2
103,2024-03-21,2024-04-21,1661.28,Paid,77,3
104,2024-03-21,2024-04-21,6046.13,Paid,78,4
105,2024-03-22,2024-04-22,5568.35,Paid,79,1
106,2024-03-23,2024-04-23,1459.44,Paid,79,2
107,2024-03-24,2024-04-24,2131.39,Paid,80,3
108,2024-03-25,2024-04-25,1352.93,Paid,81,4
109,2024-03-26,2024-04-26,1332.35,Paid,82,1
110,2024-03-27,2024-04-27,3126.79,Paid,82,2
111,2024-03-28,2024-04-28,2398.79,Paid,83,3
112,2024-03-29,2024-04-29,3763.19,Paid,84,4
113,2024-03-30,2024-04-30,6003.36,Paid,85,1
114,2024-03-31,2024-05-01,2797.81,Paid,85,2
115,2024-04-01,2024-05-02,5731.91,Paid,86,3
116,2024-04-01,2024-05-02,1738.97,Paid,87,4
117,2024-04-02,2024-05-03,6083.07,Not paid,88,1
118,2024-04-03,2024-05-04,4207.1,Paid,88,2
119,2024-04-04,2024-05-05,5835.02,Not paid,89,3
120,2024-04-05,2024-05-06,5187.31,Paid,90,4
121,2024-04-06,2024-05-07,4214.27,Paid,91,1
122,2024-04-07,2024-05-08,304.99,Not paid,91,2
123,2024-04-08,2024-05-09,725.49,Paid,92,3
124,2024-04-09,2024-05-10,3737.58,Paid,93,4
125,2024-04-10,2024-05-11,1568.71,Paid,94,1
126,2024-04-11,2024-05-12,4443.82,Paid,94,2
127,2024-04-12,2024-05-13,1453.73,Paid,95,3
128,2024-04-12,2024-05-13,1599.67,Not paid,96,4
129,2024-04-13,2024-05-14,5582.95,Paid,97,1
130,2024-04-14,2024-05-15,4718.48,Paid,97,2
131,2024-04-15,2024-05-16,4212.96,Paid,98,3
132,2024-04-16,2024-05-17,4368.51,Not paid,99,4
133,2024-04-17,2024-05-18,1453.29,Paid,100,1
134,2024-04-18,2024-05-19,4278.29,Paid,100,2
135,2024-04-19,2024-05-20,2295.22,Paid,101,3
136,2024-04-20,2024-05-21,3620.02,Paid,102,4
137,2024-04-21,2024-05-22,5128.31,Paid,103,1
138,2024-04-22,2024-05-23,3179.07,Paid,103,2
139,2024-04-23,2024-05-24,1197.73,Paid,104,3
140,2024-04-24,2024-05-25,6130.54,Paid,105,4
